PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG/SG,Dennis Schroder (11932308),Dennis Schroder,11932308,PG/SG/G/UTIL,4800,OKC@SA 01/10/2019 09:30PM ET,OKC,28.14
,,,,,,,,,PF,Jerami Grant (11932312),Jerami Grant,11932312,PF/F/UTIL,4800,OKC@SA 01/10/2019 09:30PM ET,OKC,23.85
,,,,,,,,,PG/SG,Marcus Smart (11932315),Marcus Smart,11932315,PG/SG/G/UTIL,4700,BOS@MIA 01/10/2019 07:00PM ET,BOS,21.76
,,,,,,,,,PG/SG,Shai Gilgeous-Alexander (11932324),Shai Gilgeous-Alexander,11932324,PG/SG/G/UTIL,4600,LAC@DEN 01/10/2019 09:00PM ET,LAC,20.86
,,,,,,,,,PF/C,Bam Adebayo (11932328),Bam Adebayo,11932328,PF/C/F/UTIL,4600,BOS@MIA 01/10/2019 07:00PM ET,MIA,22.14
,,,,,,,,,SG/SF,Reggie Bullock (11932319),Reggie Bullock,11932319,SG/SF/F/G/UTIL,4600,DET@SAC 01/10/2019 10:00PM ET,DET,20.23
,,,,,,,,,SG/SF,Jaylen Brown (11932332),Jaylen Brown,11932332,SG/SF/F/G/UTIL,4500,BOS@MIA 01/10/2019 07:00PM ET,BOS,21.88
,,,,,,,,,PG/SG,Tyler Johnson (11932337),Tyler Johnson,11932337,PG/SG/G/UTIL,4400,BOS@MIA 01/10/2019 07:00PM ET,MIA,21.66
,,,,,,,,,PG/SG,Bryn Forbes (11932341),Bryn Forbes,11932341,PG/SG/G/UTIL,4300,OKC@SA 01/10/2019 09:30PM ET,SA,20.92
,,,,,,,,,PF/C,Mason Plumlee (11932349),Mason Plumlee,11932349,PF/C/F/UTIL,4200,LAC@DEN 01/10/2019 09:00PM ET,DEN,21.38
,,,,,,,,,SF/PF,James Johnson (11932345),James Johnson,11932345,SF/PF/F/UTIL,4200,BOS@MIA 01/10/2019 07:00PM ET,MIA,17.23
,,,,,,,,,SF/PF,Justin Jackson (11932353),Justin Jackson,11932353,SF/PF/F/UTIL,4100,DET@SAC 01/10/2019 10:00PM ET,SAC,15.01
